time,source OuterVoltage,source InnerVoltage,source QuasiFermiPotential,source DisplacementCurrent,source eCurrent,source hCurrent,source TotalCurrent,source Charge,drain OuterVoltage,drain InnerVoltage,drain QuasiFermiPotential,drain DisplacementCurrent,drain eCurrent,drain hCurrent,drain TotalCurrent,drain Charge,gate OuterVoltage,gate InnerVoltage,gate QuasiFermiPotential,gate DisplacementCurrent,gate eCurrent,gate hCurrent,gate TotalCurrent,gate Charge
Time,OuterVoltage,InnerVoltage,QuasiFermiPotential,DisplacementCurrent,eCurrent,hCurrent,TotalCurrent,Charge,OuterVoltage,InnerVoltage,QuasiFermiPotential,DisplacementCurrent,eCurrent,hCurrent,TotalCurrent,Charge,OuterVoltage,InnerVoltage,QuasiFermiPotential,DisplacementCurrent,eCurrent,hCurrent,TotalCurrent,Charge
0.32,1.3182154,1.3182154,0,0,1.4821218e-5,0,1.4821218e-5,3.4369389e-15,0,0,0,0,-1.4821534e-5,0,-1.4821534e-5,1.3720882e-15,1.5683865,1.5683865,0,0,1.2152407e-11,-1.2152407e-11,0,4.709287e-15
0.325,1.3182154,1.3182154,0,0,1.4798093e-5,0,1.4798093e-5,3.4356251e-15,0,0,0,0,-1.4798547e-5,0,-1.4798547e-5,1.3720756e-15,1.5722954,1.5722954,0,0,2.3290113e-11,-2.3290113e-11,0,4.725093e-15
0.33,1.3182154,1.3182154,0,0,1.4768771e-5,0,1.4768771e-5,3.4339592e-15,0,0,0,0,-1.4768284e-5,0,-1.4768284e-5,1.372062e-15,1.5762043,1.5762043,0,0,9.298397e-12,-9.298397e-12,0,4.7448733e-15
0.335,1.3182154,1.3182154,0,0,1.474383e-5,0,1.474383e-5,3.4323949e-15,0,0,0,0,-1.4743333e-5,0,-1.4743333e-5,1.3720492e-15,1.5801133,1.5801133,0,0,1.5367288e-11,-1.5367288e-11,0,4.7614945e-15
0.34,1.3182154,1.3182154,0,0,1.4724851e-5,0,1.4724851e-5,3.431743e-15,0,0,0,0,-1.4723545e-5,0,-1.4723545e-5,1.372037e-15,1.5840222,1.5840222,0,0,3.7833842e-11,-3.7833842e-11,0,4.7755274e-15
0.345,1.3182154,1.3182154,0,0,1.4698515e-5,0,1.4698515e-5,3.4305443e-15,0,0,0,0,-1.4697939e-5,0,-1.4697939e-5,1.3720237e-15,1.5879311,1.5879311,0,0,3.2469387e-11,-3.2469387e-11,0,4.7939748e-15
0.35,1.3182154,1.3182154,0,0,1.4671258e-5,0,1.4671258e-5,3.4293795e-15,0,0,0,0,-1.4671612e-5,0,-1.4671612e-5,1.3720101e-15,1.59184,1.59184,0,0,2.1823045e-11,-2.1823045e-11,0,4.8132634e-15
0.355,1.3182154,1.3182154,0,0,1.4644906e-5,0,1.4644906e-5,3.4279882e-15,0,0,0,0,-1.4644364e-5,0,-1.4644364e-5,1.3719969e-15,1.5957489,1.5957489,0,0,1.8249352e-11,-1.8249352e-11,0,4.8314356e-15
0.36,1.3182154,1.3182154,0,0,1.4618222e-5,0,1.4618222e-5,3.4266542e-15,0,0,0,0,-1.4618512e-5,0,-1.4618512e-5,1.3719836e-15,1.5996579,1.5996579,0,0,1.2336231e-11,-1.2336231e-11,0,4.8499825e-15
0.365,1.3182154,1.3182154,0,0,1.4603401e-5,0,1.4603401e-5,3.4259809e-15,0,0,0,0,-1.4601796e-5,0,-1.4601796e-5,1.3719723e-15,1.6035668,1.6035668,0,0,5.53835e-11,-5.53835e-11,0,4.8607732e-15
0.37,1.3182154,1.3182154,0,0,1.4574498e-5,0,1.4574498e-5,3.4250473e-15,0,0,0,0,-1.4576021e-5,0,-1.4576021e-5,1.3719582e-15,1.6074757,1.6074757,0,0,3.5163896e-11,-3.5163896e-11,0,4.8816236e-15
0.375,1.3182154,1.3182154,0,0,1.4547863e-5,0,1.4547863e-5,3.4239646e-15,0,0,0,0,-1.45471e-5,0,-1.45471e-5,1.3719447e-15,1.6113846,1.6113846,0,0,2.553764e-11,-2.553764e-11,0,4.9007848e-15
0.38,1.3182154,1.3182154,0,0,1.4524324e-5,0,1.4524324e-5,3.4229026e-15,0,0,0,0,-1.4524945e-5,0,-1.4524945e-5,1.3719319e-15,1.6152936,1.6152936,0,0,3.1710318e-11,-3.1710318e-11,0,4.9174459e-15
0.385,1.3182154,1.3182154,0,0,1.4502599e-5,0,1.4502599e-5,3.4220299e-15,0,0,0,0,-1.4504195e-5,0,-1.4504195e-5,1.3719193e-15,1.6192025,1.6192025,0,0,4.5778971e-11,-4.5778971e-11,0,4.9328566e-15
